,Asset Title,,Status,Content managed by,Purpose,"Last modification
(Blank means 
""Grandfathered"")",Content Manager Contact name,Content Manager Contact ID,Delegation Target,Platform Manager (Tech Content Platform Manager),Notes
,[GitHub org] makerdao,,Unavailable,N/A,,,,,,GitHub,
,,[GitHub team] PECU,Pre-Approved (Grandfathered),Protocol Engineering CU Facilitator,,,Derek Flossman,@makerderek ,Request via TechOps,GitHub,
,,https://github.com/makerdao/dss-charter,Pre-Approved (Grandfathered),Protocol Engineering CU,,,Brian McMichael,,,,
,,https://github.com/makerdao/clipper-mom-keeper,Pre-Approved (Grandfathered),Protocol Engineering CU,,,Gonzalo Balabasquer,,,,
,,https://github.com/makerdao/dss-simulation-scripts,Pre-Approved (Grandfathered),Protocol Engineering CU,,,Gonzalo Balabasquer,,,,
,,https://github.com/makerdao/proxy-manager-clipper,Pre-Approved (Grandfathered),Protocol Engineering CU,,,Gonzalo Balabasquer,,,,
,,https://github.com/makerdao/spells-goerli,Pre-Approved (Grandfathered),Protocol Engineering CU,,,Gonzalo Balabasquer,,,,
,,https://github.com/makerdao/univ3-lp-oracle,Pre-Approved (Grandfathered),Protocol Engineering CU,,,Gonzalo Balabasquer,,,,
,,https://github.com/makerdao/hardhat-utils,Pre-Approved (Grandfathered),Protocol Engineering CU,,,Kris Kaczor,,,,
,,https://github.com/makerdao/curve-lp-oracle,Pre-Approved (Grandfathered),Protocol Engineering CU,,,Kurt Barry,,,,
,,https://github.com/makerdao/dss-psm,Pre-Approved (Grandfathered),Protocol Engineering CU,,,Sam MacPherson,,,,
,,https://github.com/makerdao/protocolsafety,Pre-Approved (Grandfathered),Protocol Engineering CU,,,Tannr,,,,
,,,,,,,,,,,
,,[GitHub team] OCU,Pre-Approved (Grandfathered),Oracles CU Facilitator,,,Nik Kunkels,@nikkunkels ,Request via TechOps,GitHub,
,,https://github.com/makerdao/spamman,Pre-Approved (Grandfathered),Oracles Core Unit,,,Niklas Kunkel,Nik#6759,,,
,,,,,,,,,,,
,,[GitHub team] GovAlpha CU,Pre-Approved (Grandfathered),GovAlpha Facilitator,,,LongForWisdom,LongForWisdom#3896,Request via TechOps,,
,,https://github.com/makerdao/governance-manual,Pre-Approved (Grandfathered),GovAlpha Core Unit,,,Long For Wisdom,LongForWisdom#3896,,,
,,,,,,,,,,,
,,[GitHub team] DUX CU,Pre-Approved (Grandfathered),DUX CU Facilitator,,,Phillip Bain,bainpm#1526 (Discord) ,Request via TechOps,GitHub,DUX has their own Github account
